Name;;
Allerstraße 31;;;
Allerstraße 39;;;
Alter Borsteler Weg 7, 7a, 7b und 7c;;;
Andreasstraße 2/4;;;
Anna-Wöbse-Straße 28;;;
Auf dem Hufschlag 16;;;
Auf dem Hufschlag 18;;;
Bahnhofstraße 21;;;
Bgm.-Schorcht-Straße 5;;;
Bremer Straße 13;;;
Brückstraße 7;;;
Eitzer Straße 29/31 c;;;
Eitzer Straße 66;;;
Feldstraße 5;;;
Friedrich-Wolff-Straße 1;;;
Friedrichstraße 18;;;
Große Straße 128/130;;;
Große Straße 128/130, Untere Straße 30;;;
Große Straße 59;;;
Heinrichstraße 43;;;
Herrlichkeit 2;;;
Herrlichkeit 4;;;
Holzmarkt 2-2 e;;;
Im Neuen Felde 4;;;
Johanniswall 4;;;
Klein Hutberger Weg 26;;;
Klein Hutberger Weg 26a;;;
Kleiststraße 10/12/14;;;
Kreienböhl 15;;;
Marienstraße 33;;;
Piepenbrink 5;;;
Plattenberg 26;;;
Schillerstraße 6;;;
Sophienstraße 10a-10e;;;
Spreeweg 2;;;
Untere Straße 19/21;;;
Untere Straße 30;;;
Voigtei 1/3;;;
Völkerser Landstraße 48;;;
Weserstraße 1;;;
Weserstraße 7;;;
Weserstraße 9;;;
Wilhelm-Busch-Straße 22;;;
Ziegeleiweg 1;;;
Ziegeleiweg 3;;;
Zollstraße 2/2a/b;;;
