Objekt;Verbraucher;Nummer;Art;Besonderheit;Ausbaustand;Ausbaudatum;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;;
Kreienböhl 15;DGL;7043;WMZ;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;12430.00;0.00;0.00;;;
Kreienböhl 15;DGL;8030;WW;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;35.00;0.00;0.00;;;
Kreienböhl 15;DGL;6806;KW;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;45.00;0.00;0.00;;;
Kreienböhl 15;DGR;6646;KW;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;242.00;0.00;0.00;;;
Kreienböhl 15;DGR;7098;WMZ;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10421.00;0.00;0.00;;;
Kreienböhl 15;DGR;5345;WW;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;137.00;0.00;0.00;;;
Kreienböhl 15;EGL;7996;WW;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;155.00;0.00;0.00;;;
Kreienböhl 15;EGL;7111;WMZ;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27047.00;0.00;0.00;;;
Kreienböhl 15;EGL;6783;KW;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;256.00;0.00;0.00;;;
Kreienböhl 15;EGR;6752;KW;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;182.00;0.00;0.00;;;
Kreienböhl 15;EGR;8528;WMZ;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;27444.00;0.00;0.00;;;
Kreienböhl 15;EGR;8078;WW;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;65.00;0.00;0.00;;;
Kreienböhl 15;OGL;7036;WMZ;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;24130.00;0.00;0.00;;;
Kreienböhl 15;OGL;7989;WW;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;130.00;0.00;0.00;;;
Kreienböhl 15;OGL;6707;KW;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;206.00;0.00;0.00;;;
Kreienböhl 15;OGR;7104;WMZ;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;22368.00;0.00;0.00;;;
Kreienböhl 15;OGR;6660;KW;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;131.14;0.00;0.00;;;
Kreienböhl 15;OGR;5625;WW;;76;2024-08-26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;;
Kreienböhl 15;OGR;8642;WW;;0;0000-00-00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;7.21;0.00;0.00;;;
